codigo_ocorrencia4,recomendacao_numero,recomendacao_dia_assinatura,recomendacao_dia_encaminhamento,recomendacao_dia_feedback,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario,,,,,,,
43977,296/2011,2011-09-23,2011-09-29,2016-06-15,Revisar os requisitos de concessão e revalidação de habilitação técnica de piloto agrícola (PAGR),,,,,,,,,,
43977,297/2011,2011-09-23,2011-09-23,NULL,Aplicar os procedimentos previstos para estocagem do combustível,,,,,,,,,,
43977,298/2011,2011-09-23,2011-10-20,2016-07-19,Divulgar o presente relatório aos seus associados,,,,,,,,,,
43908,206/2012,2012-02-07,2012-08-08,2012-11-28,Atuar junto à BRISA Aviação Agrícola Ltda,,,,,,,,,,
43908,207/2012,2012-02-07,2012-08-08,2012-11-28,Atuar junto à BRISA Aviação Agrícola Ltda.,,,,,,,,,,
43908,208/2012,2012-02-07,2012-08-08,2012-11-28,Realizar uma auditoria na BRISA Aviação Agrícola Ltda.,,,,,,,,,,
43908,209/2012,2012-02-07,2012-08-08,2012-09-27,Divulgar os ensinamentos da presente investigação aos operadores da aviação agrícola,,,,,,,,,,
43908,210/2012,2012-02-07,2012-10-08,2016-07-19,Divulgar os ensinamentos colhidos na presente investigação aos operadores agrícolas das diversas regiões do país,,,,,,,,,,
43906,341/2012,2012-08-08,2012-10-16,2012-10-30,Divulgar o conteúdo deste Relatório aos aeroclubes,,,,,,,,,,
43899,014/D/11,2011-03-15,2011-03-15,2017-06-27,Determinar às empresas operadoras de aeronaves ATR-72 e ATR-42,,,,,,,,,,
43899,015/D/11,2011-03-15,2011-03-15,2014-10-27,Realizar uma inspeção na empresa AV Indústria Aeronáutica LTDA (CHE 9507-02/ANAC),,,,,,,,,,
43899,A-012/CENIPA/2013-RSV001,2013-11-29,2013-12-17,2014-10-27,Aprimorar os processos de auditorias nas empresas reguladas pelo RBHA 145,,,,,,,,,,
43899,A-012/CENIPA/2013-RSV002,2013-11-29,2013-12-17,2014-07-28,Aprimorar os processos de auditorias nas empresas reguladas pelo RBAC 121 e 135,,,,,,,,,,
43899,A-012/CENIPA/2013-RSV003,2013-11-29,2013-12-17,2014-10-27,Aprimorar os procedimentos,,,,,,,,,,
43899,A-012/CENIPA/2013-RSV004,2013-11-29,2013-12-17,2014-10-27,Tendo em vista que as empresas envolvidas no acidente em tela (TRIP Linhas Aéreas e AV Indústria Aeronáutica Ltda.) tinham procedimentos e processos definidos nos seus Programas de Manutenção e MPI,,,,,,,,,,
43809,A-167/CENIPA/2013 - RSV 001,2013-12-12,2014-12-02,2014-08-19,Atuar junto à Empresa Globo Aviação Agrícola Ltda,,,,,,,,,,
43809,A-167/CENIPA/2013 - RSV 002,2013-12-12,2014-12-02,2016-02-23,Atuar junto à Empresa Globo Aviação Agrícola Ltda,,,,,,,,,,
43809,A-167/CENIPA/2013 - RSV 003,2013-11-29,2014-12-02,2016-07-19,Promover a divulgação deste Relatório Final junto às empresas associadas e pilotos agrícolas,,,,,,,,,,
43808,A-039/CENIPA/2013-RSV001,2013-08-22,2013-10-24,2014-11-27,Realizar auditoria técnica na empresa PIPES Manutenção de Aeronaves Ltda.,,,,,,,,,,
43808,A-039/CENIPA/2013-RSV002,2013-08-22,2013-10-24,2014-11-27,Atuar junto à PIPES Manutenção de Aeronaves Ltda.,,,,,,,,,,
43808,A-039/CENIPA/2013-RSV003,2013-08-22,2013-10-24,2014-11-27,Atuar junto à PIPES Manutenção de Aeronaves Ltda.,,,,,,,,,,
43808,A-039/CENIPA/2013-RSV004,2013-08-22,2013-10-24,2013-11-23,Divulgar os ensinamentos do presente relatório aos operadores da aviação geral,,,,,,,,,,
43778,278/2012,2012-07-23,2012-07-08,2014-12-30,Atuar junto à Dumont Escola de Aviação Civil Ltda.,,,,,,,,,,
43778,279/2012,2012-07-23,2012-07-08,2014-12-30,Atuar junto à Dumont Escola de Aviação Civil Ltda.,,,,,,,,,,
43778,280/2012,2012-07-23,2012-07-08,2014-01-21,Atuar junto à Aerocampo Manutenção de Aeronaves Ltda. para que revise seus procedimentos,,,,,,,,,,
43778,281/2012,2012-07-23,2012-07-08,2013-11-20,Revisar os procedimentos de vistoria de aeronaves importadas,,,,,,,,,,
43778,282/2012,2012-07-23,2012-07-08,2014-10-04,Realizar uma auditoria na Aerocampo Manutenção de Aeronaves Ltda.,,,,,,,,,,
43776,077/2011,2011-06-30,2011-01-08,2013-09-17,Revisar os requisitos para concessão e revalidação de habilitação para aviões classe monomotores terrestres (MNTE),,,,,,,,,,
43776,078/2011,2011-06-30,2011-06-30,NULL,Orientar os pilotos da empresa para que executem o planejamento dos voos conforme preceitua a ICA 100-12 em vigor,,,,,,,,,,
43776,079/2011,2011-06-30,2011-06-30,NULL,Orientar os pilotos da empresa para que executem o planejamento dos voos conforme preceitua a ICA 100-12 em vigor,,,,,,,,,,
43774,A-522/CENIPA/2014 -  001,2014-07-21,2014-11-08,2016-03-14,Realizar visita técnica na empresa Aero-Agrícola Caiçara Ltda. com intuito de analisar e propor melhorias no processo de recebimento de partes e registros de manutenção após revisão de motores e demais componentes aeronáuticos.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
43732,080/2011,2011-06-30,2011-01-08,2011-02-09,Realizar uma auditoria no aeródromo de Pauini (SWUI),,,,,,,,,,
43731,275/2012,2012-07-23,2012-07-08,2014-01-21,Atuar junto ao Aeroclube do Rio Grande do Sul,,,,,,,,,,
43731,276/2012,2012-07-23,2012-07-08,2014-05-15,Atuar junto ao Aeroclube do Rio Grande do Sul,,,,,,,,,,
43731,277/2012,2012-07-23,2012-07-08,2014-05-15,Realizar um auditoria no Aeroclube do Rio Grande do Sul,,,,,,,,,,
43726,335/2012,2012-08-29,2012-10-16,2013-04-01,Atuar junto à Cristal Aviação Agrícola Ltda.,,,,,,,,,,
43726,336/2012,2012-08-29,2012-10-16,2013-04-01,Atuar junto à Cristal Aviação Agrícola Ltda.,,,,,,,,,,
43726,337/2012,2012-08-29,2012-10-16,2013-03-01,Atuar junto à Cristal Aviação Agrícola Ltda.,,,,,,,,,,
43726,338/2012,2012-08-29,2012-10-16,2013-03-01,Atuar junto à Cristal Aviação Agrícola Ltda.,,,,,,,,,,
43726,339/2012,2012-08-29,2012-10-16,2012-10-30,Divulgar os ensinamentos da presente investigação aos operadores da aviação agrícola,,,,,,,,,,
43726,340/2012,2012-08-29,2012-10-16,2016-07-19,Divulgar os ensinamentos colhidos na presente investigação aos seus associados,,,,,,,,,,
43721,A - 047/CENIPA/2013 - RSV 001,2013-08-28,2013-05-11,2014-11-27,Reavaliar os métodos utilizados pela Oficina Poty Revisões de Aeronaves Ltda.,,,,,,,,,,
43721,A - 047/CENIPA/2013 - RSV 002,2013-08-28,2013-05-11,2014-11-27,Reavaliar os mecanismos de Supervisão Gerencial da Oficina Poty,,,,,,,,,,
43721,A - 047/CENIPA/2013 - RSV 003,2013-08-28,2013-05-11,2014-03-10,Certificar-se de que o procedimento de lubrificação dos uplock rollers do trem de pouso principal das aeronaves modelos 95-B55 praticado pela Ceará Táxi Aéreo atende fielmente ao estabelecido na AD 72-22-01.,NÃO IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
43721,A - 047/CENIPA/2013 - RSV 004,2013-08-26,2013-05-11,2014-01-13,Divulgar,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 001,2013-08-22,2013-05-11,2018-06-08,Atuar junto à Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 002,2013-08-22,2013-05-11,2014-04-28,Atuar junto à Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 003,2013-08-22,2013-05-11,2015-02-07,Atuar junto à Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 004,2013-08-22,2013-05-11,2014-04-28,Atuar junto à Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 005,2013-08-22,2013-05-11,2014-04-28,Atuar junto à Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 006,2013-08-22,2013-05-11,2014-04-28,Atuar junto à Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 007,2013-08-28,2013-05-11,2014-04-28,Realizar auditoria técnica na empresa aérea Fly One Serviços Aéreos Especializados,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 008,2013-08-22,2013-05-11,2014-04-17,Realizar inspeção aeroportuária em SNAU,,,,,,,,,,
43719,A - 042/CENIPA/2013 - RSV 009,2013-08-22,2013-05-11,2014-01-13,Divulgar os ensinamentos do presente relatório aos operadores de helicóptero,,,,,,,,,,
43706,118/2011,2011-07-21,2011-09-08,NULL,Revisar os seus procedimentos para terceirização de serviços de manutenção,,,,,,,,,,
43706,119/2011,2011-07-21,2011-09-08,NULL,Revisar os seus procedimentos de execução de serviços de manutenção de cumprimento mandatório,,,,,,,,,,
43706,120/2011,2011-07-21,2011-09-08,NULL,Revisar os seus procedimentos de manutenção relativos ao serviço de instalação e usinagem das buchas dos contrapesos dinâmicos dos motores Lycoming,,,,,,,,,,
43706,121/2011,2011-07-21,2011-01-08,2012-09-19,Executar uma Vistoria de Segurança de Voo na Oficina Ramos Manutenção de Aeronaves LTDA,,,,,,,,,,
43706,122/2011,2011-07-21,2011-01-08,2012-09-19,Executar uma Vistoria de Segurança de Voo na Oficina Goiás Manutenção de Aeronaves LTDA,,,,,,,,,,
43706,123/2011,2011-07-21,2011-01-08,2011-09-16,Divulgar o presente Relatório Final às oficinas de manutenção homologadas para motores Lycoming,,,,,,,,,,
43706,124/2011,2011-07-21,2011-01-08,2013-03-20,Converter a versão mais recente do Service Bulletin 204V-2 da Lycoming em Diretriz de Aeronavegabilidade,,,,,,,,,,
43705,A-606/CENIPA/2014 - 01,2016-11-24,2016-12-14,2016-12-28,Promover a disseminação das lições deste acidente aeronáutico junto a operadores e pilotos da aviação civil,,,,,,,,,,
43705,A-606/CENIPA/2014 - 02,2016-11-24,2016-12-14,2016-12-28,Orientar e incentivar os programas de promoção da saúde e controle de sobrepeso quanto aos riscos oferecidos pelas condições de windshear.,NÃO IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
43705,A-606/CENIPA/2014 - 03,2016-11-24,2016-12-14,2018-02-19,Identificar o Morro de Santo Antônio na carta do procedimento VOR para a pista 32 de SBGO de modo a elevar o nível de percepção dos pilotos quanto aos riscos de colisão com esse obstáculo,,,,,,,,,,
43704,287/2011,2011-09-23,2011-09-23,NULL,Estabelecer procedimentos de acompanhamento da manutenção que garantam a confiabilidade e a conformidade dos serviços realizados nas aeronaves com o previsto pelo fabricante.,***,MOSTARDAS,EMPRESA MOSTARDAS AVIAÇÃO AGRÍCOLA E MANUTENÇÃO,,,,,,,
43704,288/2011,2011-09-23,2011-09-23,NULL,Revisar junto a todos os funcionários do setor de manutenção da empresa os procedimentos de manutenção,,,,,,,,,,
43704,289/2011,2011-09-23,2011-09-23,NULL,Criar mecanismos para incrementar a comunicação entre os integrantes da empresa,,,,,,,,,,
43704,290/2011,2011-09-23,2011-09-23,NULL,Implantar programas voltados ao desenvolvimento da cultura de segurança de voo,,,,,,,,,,
43704,291/2011,2011-09-23,2011-09-29,2012-02-28,Realizar uma vistoria de segurança de voo na empresa Mostardas Aviação Agrícola e Manutenção Ltda. a fim de verificar a conformidade dos serviços de manutenção com os requisitos aplicáveis.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
43704,292/2011,2011-09-23,2011-09-29,2014-12-30,Realizar uma vistoria de segurança de voo na Oficina de Manutenção de Aeronaves Ltda. (OMAER),,,,,,,,,,
43704,293/2011,2011-09-23,2011-09-29,2012-09-19,Incrementar a fiscalização dos serviços de reparos de manutenção realizados por oficinas homologadas,,,,,,,,,,
43704,294/2011,2011-09-23,2011-09-29,2011-11-16,Divulgar o presente relatório aos operadores da Aviação Agrícola,,,,,,,,,,
43704,295/2011,2011-09-23,2011-10-20,2016-07-19,Divulgar o presente relatório aos seus associados,,,,,,,,,,
43702,RSV (A) 019 / 2013,2013-03-28,2013-01-07,2014-04-28,Atuar junto à Rima Aerotáxi Ltda.,,,,,,,,,,
43702,RSV (A) 020 / 2013,2013-03-28,2013-01-07,2014-04-28,Atuar junto à Rima Aerotáxi Ltda.,,,,,,,,,,
43702,RSV (A) 021 / 2013,2013-03-28,2013-01-07,2014-04-28,Atuar junto à Rima Aerotáxi Ltda.,,,,,,,,,,
43702,RSV (A) 022 / 2013,2013-03-28,2013-01-07,2017-02-22,Avaliar junto aos fabricantes da aeronave e do motor a necessidade de verificação dos Fuel Control Unit (FCU) P/N 3122678-04 equipados com Bellows PN 3244112 do mesmo lote de fabricação do item que falhou neste acidente,,,,,,,,,,
43702,RSV (A) 023 / 2013,2013-03-28,2013-01-07,2017-02-22,Promover junto ao fabricante do motor a revisão do controle de qualidade no processo de fabricação do Bellows PN 3244112 que equipa o Fuel Control Unit (FCU) P/N 3122678 - 04,,,,,,,,,,
43702,RSV (A) 024 / 2013,2013-03-28,2013-01-07,2013-12-08,Divulgar os ensinamentos do presente relatório aos operadores de táxi aéreo e da aviação geral,,,,,,,,,,
43702,RSV (A) 025 / 2013,2013-03-28,2013-06-28,2015-08-19,Avaliar a necessidade de verificação dos Fuel Control Unit (FCU) P/N 3122678-04 equipados com Bellows PN 3244112 do mesmo lote de fabricação do item que falhou neste acidente,,,,,,,,,,
43702,RSV (A) 026 / 2013,2013-03-28,2013-06-28,2015-08-19,Promover a revisão do controle de qualidade no processo de fabricação do Bellows PN:3244112 que equipa o Fuel Control Unit (FCU) P/N 3122678-04,,,,,,,,,,
43658,411/2012,2012-09-20,2012-01-11,2013-09-05,Atuar junto à Aero Agrícola Caiçara Ltda.,,,,,,,,,,
43658,412/2012,2012-09-20,2012-01-11,2013-09-05,Atuar junto à Aero Agrícola Caiçara Ltda.,,,,,,,,,,
43658,413/2012,2012-09-20,2012-01-11,2013-09-05,Revisar os requisitos de avaliação psicológica de pilotos,,,,,,,,,,
43658,414/2012,2012-09-20,2012-10-30,2012-10-30,Divulgar os ensinamentos do presente relatório aos operadores da Aviação Agrícola,,,,,,,,,,
43657,272/2012,2012-07-23,2012-07-08,2013-12-03,Atuar junto à SAPA Aviação Agrícola Ltda.,,,,,,,,,,
43657,273/2012,2012-07-23,2012-07-08,2013-12-03,Atuar junto à SAPA Aviação Agrícola Ltda.,,,,,,,,,,
43657,274/2012,2012-07-23,2012-07-08,2012-12-09,Divulgar os ensinamentos colhidos na presente investigação aos operadores agrícolas das diversas regiões do país,,,,,,,,,,
43633,001/D/11,2011-02-25,2011-01-03,2014-10-29,Adotar uma metodologia,,,,,,,,,,
43633,002/D/11,2011-02-25,2011-01-03,2014-10-29,Definir a responsabilidade pela aplicação da metodologia a ser adotada na medição e avaliação do nível de contaminação de pista.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
43633,003/D/11,2011-02-25,2011-01-03,2014-10-29,Definir a responsabilidade e o processo de comunicação aos Órgãos de Controle de Tráfego Aéreo para as situações de contaminação de pista,,,,,,,,,,
43633,004/D/11,2011-02-25,2011-01-03,2012-04-27,Rever a letra *e* do item G.5,,,,,,,,,,
43633,005/D/11,2011-02-25,2011-01-03,2017-11-28,Reforçar,,,,,,,,,,
43633,006/D/11,2011-02-25,2011-02-03,2011-04-05,Reforçar o treinamento periódico de suas tripulações técnicas com informações sobre os limites estabelecidos pelo fabricante da aeronave operada pela empresa,,,,,,,,,,
43633,007/D/11,2011-02-25,2011-02-03,2011-04-05,Reforçar,,,,,,,,,,
43633,008/D/11,2011-02-25,2011-02-03,2011-04-05,Enfatizar,,,,,,,,,,
43633,009/D/11,2011-02-25,2011-02-03,2011-04-05,Reforçar a instrução para as suas tripulações técnicas,,,,,,,,,,
43633,010/D/11,2011-02-25,2011-02-03,2011-04-05,Reforçar a instrução para as suas tripulações técnicas,,,,,,,,,,
43628,A-584/CENIPA/2016 - 01,2019-11-03,2019-03-18,2019-07-05,Realizar gestões junto à Addey Táxi Aéreo Ltda.,,,,,,,,,,
43628,A-584/CENIPA/2016 - 02,2019-11-03,2019-03-18,2019-07-05,Realizar gestões junto à Addey Táxi Aéreo Ltda.,,,,,,,,,,
43472,476/2012,2012-11-19,2013-12-03,NULL,Melhorar a faixa de pista do Aeródromo de Picos,,,,,,,,,,
43472,477/2012,2012-11-19,2012-11-12,2017-03-15,Realizar auditoria técnica na empresa Uirapuru Táxi Aéreo Ltda.,,,,,,,,,,
43472,478/2012,2012-11-19,2012-11-12,2014-04-17,Atuar junto à oficina CETAM - Celso Tinoco Aero Mnt Ltda.,,,,,,,,,,
43472,479/2012,2010-11-19,2012-11-12,2017-03-23,Realizar auditoria técnica no Aeródromo de Picos,,,,,,,,,,
43472,480/2012,2012-11-19,2012-11-12,2013-03-13,Divulgar o conteúdo do presente relatório aos operadores de táxi-aéreo,,,,,,,,,,
43471,107/2011,2011-07-21,2011-09-08,NULL,Aperfeiçoar a estrutura organizacional da empresa,,,,,,,,,,
43471,108/2011,2011-07-21,2011-09-08,NULL,Implementar mecanismos de registro formal dos problemas encontrados durante a operação das aeronaves,,,,,,,,,,
43471,109/2011,2011-07-21,2011-09-08,NULL,Promover treinamento sobre a padronização no preenchimento do Diário de Bordo e das Cadernetas de Motor e Célula,,,,,,,,,,
43471,110/2011,2011-07-21,2011-09-08,NULL,Inserir em seu Programa de Treinamento o estudo de situações anormais e emergências ocorridas quando em voo sobre áreas urbanas densamente ocupadas,,,,,,,,,,
43471,111/2011,2011-07-21,2011-09-08,NULL,Providenciar a instalação dos TELATEMP em todos os locais pertinentes nas aeronaves R-22 da frota.,***,COPSERV,COP SERVIÇOS AÉREOS ESPECIALIZADOS,,,,,,,
43471,112/2011,2011-07-21,2011-09-08,NULL,Revisar os seus procedimentos de manutenção no tocante à Revisão Geral (overhaul) dos motores Lycoming modelo O-360-J2A,,,,,,,,,,
43471,113/2011,2011-07-21,2011-01-08,2012-07-12,Realizar uma Vistoria de Segurança de Voo na COP Serviços Aéreos Especializados Ltda.,,,,,,,,,,
43471,114/2011,2011-07-21,2011-01-08,2013-09-26,Revisar a legislação vigente (IAC 3142-39-0200,,,,,,,,,,
43471,115/2011,2011-07-21,2011-01-08,2012-04-05,Revisar o processo de emissão de Diretrizes de Aeronavegabilidade,,,, quando aplicável às aeronaves brasileiras.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,
43471,116/2011,2011-07-21,2011-01-08,2017-06-21,Converter a versão mais recente do Service Bulletin N° 240T,,,,,,,,,,
43471,117/2011,2011-07-21,2011-01-08,2012-09-19,Realizar uma Vistoria de Segurança de Voo na Planave Aviação Ltda,,,,,,,,,,
43463,IG-506/CENIPA/2018 - 01,2020-05-29,2020-06-22,2020-06-30,DIVULGAR OS ENSINAMENTOS COLHIDOS COM A PRESENTE INVESTIGAçãO,,,,,,,,,,
43455,RSV (A) 033 / 2013 - CENIPA,2013-04-23,2013-01-07,2013-02-08,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
43454,259/2012,2012-03-07,2012-07-08,2012-12-09,Divulgar os ensinamentos da presente investigação aos operadores da Aviação Geral,,,,,,,,,,
43454,260/2012,2012-03-07,2012-07-08,2012-11-30,Incrementar a fiscalização dos operadores regidos pelo RBHA 91 com o intuito de coibir que tripulantes não adequadamente qualificados e habilitados para a aeronave exerçam função a bordo.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
43454,261/2012,2012-03-07,2012-07-08,2012-05-12,Desenvolver trabalho permanente de conscientização dos proprietários da Aviação Executiva sobre a importância da supervisão gerencial sobre as atividades aéreas,,,,,,,,,,
43454,262/2012,2012-03-07,2012-07-08,2012-11-30,Atuar junto ao operador para orientá-lo quanto à importância do treinamento no simulador dos procedimentos de recuperação de windshear e dos procedimentos relacionados aos alarmes do EGPWS,,,,,,,,,,
43454,263/2012,2012-03-07,2012-10-08,2012-11-19,Estudar a viabilidade de instalar Radar Meteorológico nas localidades com maior incidência de windshear,,,,,,,,,,
43454,264/2012,2012-03-07,2012-10-08,2012-11-19,Estudar a viabilidade de divulgar,,,,,,,,,,
43450,RSV (A) 327 / 2012 - CENIPA,2012-07-08,2012-10-16,2014-04-28,Atuar junto à Master Escola de Pilotagem de Helicóptero Ltda. a fim de que sejam corrigidas as não conformidades observadas em fiscalização realizada por essa agência,,,,,,,,,,
43450,RSV (A) 328 / 2012 - CENIPA,2012-07-08,2012-10-16,2016-12-20,Reavaliar os requisitos mínimos necessários à concessão de habilitação de instrutor de voo de helicóptero,,,,,,,,,,
43450,RSV (A) 329 / 2012 - CENIPA,2012-07-08,2012-10-16,2016-07-06,Revisar o MMA 58-16 - Manual do Curso de Instrutor de Voo,,,,,,,,,,
43450,RSV (A) 330 / 2012 - CENIPA,2012-07-08,2012-10-16,2016-08-06,Avaliar a possibilidade de desenvolver um Curso de Padronização de Instrutores de Voo,,,,,,,,,,
43450,RSV (A) 331 / 2012 - CENIPA,2012-07-08,2012-10-16,2016-08-06,Avaliar a possibilidade de criar requisito,,,,,,,,,,
43450,RSV (A) 332 / 2012 - CENIPA,2012-07-08,2012-10-16,2013-05-16,"""Atuar junto à INFRAERO",,,,,,,,,,
43449,341/2011,2011-04-11,2011-06-12,2011-12-26,Divulgar os ensinamentos colhidos desta investigação aos aeroclubes e às escolas de aviação,,,,,,,,,,
43449,342/2011,2011-04-11,2011-06-12,2012-04-27,Incrementar o acompanhamento das atividades aéreas dos aeroclubes,,,,,,,,,,
43446,237/2011,2011-08-29,2011-09-29,2011-10-31,Divulgar o presente relatório final aos operadores agrícolas,,,,,,,,,,
43446,238/2011,2011-08-29,2011-09-29,2012-06-02,Realizar uma Vistoria de Segurança de Voo na empresa Novo Rumo Aeroagrícola Ltda.,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 001,2013-07-18,2013-12-08,2016-05-04,"""Expedir orientação formal aos aeroclubes e escolas de aviação proibindo a atividade denominada - """"voo de incentivo""""",,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 002,2013-07-18,2013-12-08,2016-05-04,Enviar documento aos aeroclubes enfatizando a estrita observância dos dispositivos regulamentares previstos na seção 71 do RBHA 140,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 003,2013-07-18,2013-12-08,2016-05-04,Realizar revisão dos manuais de cursos de PPR,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 004,2013-07-18,2013-12-08,2016-05-04,Realizar revisão das regras de avaliação dos cursos de PPR,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 005,2013-07-18,2013-12-08,2016-05-04,Realizar revisão do RBHA 140,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 006,2013-07-18,2013-12-08,2016-05-04,Realizar revisão do RBAC 61 e avaliar,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 007,2013-07-18,2013-12-08,2016-05-04,Realizar Auditoria de Segurança Operacional no Aeroclube de Bragança Paulista,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 008,2013-07-18,2013-12-08,2014-02-17,Reavaliar a Resolução n° 115,,,,,,,,,,
43404,A-002/CENIPA/2013 - RSV 009,2013-07-18,2013-12-08,2014-02-17,Atuar junto ao Departamento Aeroviário do Estado de São Paulo (DAESP),,,,,,,,,,
43393,A - 043/CENIPA/2013 - RSV 001,2013-08-26,2013-05-11,2014-01-13,Adotar mecanismos de divulgação dos ensinamentos colhidos na presente investigação aos operadores de Serviço Aéreo Especializado (SAE),,,,,,,,,,
43393,A - 043/CENIPA/2013 - RSV 002,2013-08-26,2013-05-11,2015-11-08,Reavaliar o modo de operação da Engefoto Engenharia e Aerolevantamentos S.A. com a finalidade de garantir um acompanhamento gerencial rígido da operação de suas aeronaves e tripulações,,,,,,,,,,
43390,178/2011,2011-01-08,2011-08-25,2014-04-28,Realizar vistoria de segurança de voo especial no âmbito da Engemap Engenharia Mapeamento e Aerolevantamento Ltda.,,,,,,,,,,
43390,179/2011,2011-01-08,2011-08-25,2014-04-28,Certificar-se,,,,,,,,,,
43389,180/2011,2011-02-26,2011-08-25,2011-09-23,Divulgar o presente relatório final aos operadores da Aviação Geral,,,,,,,,,,
43361,333/2012,2012-08-29,2012-10-16,2016-05-24,Atuar junto ao Aeroclube de Veranópolis,,,,,,,,,,
43361,334/2012,2012-08-29,2012-10-16,2012-10-30,Divulgar os ensinamentos do presente acidente aos aeroclubes e escolas de aviação,,,,,,,,,,
43294,412/D/11,2011-12-21,2012-06-02,NULL,Reciclar os pilotos de R22 quanto aos seguintes temas: Teoria Geral de Voo do Helicóptero# Limitações da Aeronave# Performance do Helicóptero# Procedimentos Normais e de Emergência,,,,,,,,,,
43294,413/D/11,2011-12-21,2012-06-02,NULL,Divulgar os ensinamentos deste acidente aeronáutico aos seus associados,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43294,414/D/11,2011-12-21,2011-12-21,NULL,Divulgar os ensinamentos deste acidente aeronáutico em sua área de atuação,,,,,,,,,,
43266,021/D/11,2011-09-05,2011-05-05,2014-04-28,Incrementar as medidas de fiscalização às empresas aeroagrícolas,,,,,,,,,,
43266,022/D/11,2011-09-05,2011-05-05,2012-07-12,Realizar auditoria de acompanhamento operacional na empresa Aeroagrícola Boa Safra Ltda.,,,,,,,,,,
43262,280/2011,2011-09-23,2011-09-23,NULL,Ministrar aulas de prevenção de acidentes aeronáuticos,,,,,,,,,,
43262,281/2011,2011-09-23,2011-09-23,NULL,Ministrar,,,,,,,,,,
43262,282/2011,2011-09-23,2011-09-23,NULL,Realizar,,,,,,,,,,
43262,283/2011,2011-09-23,2011-09-23,NULL,Incrementar a supervisão de suas operações,,,,,,,,,,
43262,284/2011,2011-09-23,2011-09-23,NULL,Divulgar,,,,,,,,,,
43262,285/2011,2011-09-23,2011-10-20,2016-07-19,Divulgar o presente relatório final aos seus associados,,,,,,,,,,
43262,286/2011,2011-09-23,2011-09-29,2014-07-17,Atuar junto aos seus INSPAC Pilotos para que eles se assegurem,,,,,,,,,,
43256,155/2011,2011-07-21,2011-08-25,2011-09-23,Divulgar o presente relatório final aos operadores privados,,,,,,,,,,
43063,196/2012,2012-04-06,2012-07-08,2012-09-27,Divulgar os ensinamentos colhidos na presente investigação às empresas de táxi aéreo,,,,,,,,,,
43063,197/2012,2012-04-06,2012-07-08,2012-09-27,Incrementar os mecanismos de fiscalização das empresas de táxi aéreo da região norte,,,,,,,,,,
